range,column,x_start,x_end,y_start,y_end
1,1,-1.2186123230635044,2.282210483318348,23.34809738341461,24.878526437373647
1,2,-1.2202775340084866,2.2805451938119536,21.81800051956229,23.348439587924318
1,3,-1.221942743100207,2.2788799833167834,20.287903656469542,21.81834272602338
1,4,-1.2236179526332227,2.277214773299113,18.757806704183697,20.288245862380887
1,5,-1.2252831622001734,2.2755495628025812,17.227709842358298,18.758149000681385
1,6,-1.2269483712887166,2.2738843518453438,15.69761297892563,17.22805213837339
1,7,-1.2286135841105632,2.2722091437089693,14.16751611727229,15.69795518576441
1,8,-1.2302787922708869,2.27054393415382,12.637419253982303,14.16785832246603
1,9,-1.231944004155436,2.2688787236645505,11.107322391401532,12.637761459826505
1,10,-1.2336092146501523,2.2672135127050437,9.577225529437648,11.10766459785423
1,11,-1.2352744246759928,2.2655483022135043,8.04712866693661,9.577567735420336
1,12,-1.2369396356277833,2.263883093120876,6.5170318038900215,8.047470872457678
1,13,-1.2386049260655745,2.2622178816988483,4.98694495469668,6.517374010145484
1,14,-1.2402701347043057,2.260552670736618,3.45684809308111,4.987277148508931
1,15,-1.2419353442585472,2.2588874616467134,1.926751229711389,3.4571802851434064
1,16,-1.2436005561521744,2.2572222497626178,0.39665436827207284,1.927083422558437
2,1,2.7654278767870237,6.266250682700001,23.34848349795284,24.878912552377688
2,2,2.7637626672250657,6.264585472672798,21.818386635590286,23.348815690078084
2,3,2.762097457201041,6.262920182228652,20.28828977282067,21.818728841690476
2,4,2.7604322457776513,6.261254973138294,18.75819291070991,20.288631978392097
2,5,2.7587670357527183,6.259589761718989,17.22809604807458,18.75853511574418
2,6,2.7571018248022896,6.25792455261819,15.697999184893703,17.228438253788692
2,7,2.755426618058017,6.256259342591896,14.167902232570091,15.698341391358992
2,8,2.753761407097149,6.25459413071007,12.637805370799247,14.168244528442498
2,9,2.7520961966142337,6.252928920682868,11.1077085072197,12.638147666075747
2,10,2.750430985187213,6.2512537144061096,9.577611645583147,11.108050713412215
2,11,2.7487657756325174,6.2495885029827205,8.04751478228057,9.57795385130565
2,12,2.7471005646784574,6.247923293423486,6.517417919569706,8.047856988607375
2,13,2.7454353537194045,6.246258081543022,4.987321057601626,6.5177601254894455
2,14,2.7437700660712645,6.244592871516727,3.4572342081648864,4.987663263055551
2,15,2.7421048546456053,6.24292766102065,1.9271373463898478,3.457566401221761
2,16,2.740439645083194,6.241262451923028,0.3970404840272945,1.9274695388634044
3,1,6.749468077559417,10.250290883467855,23.348869613435287,24.87929866846024
3,2,6.747802866599002,10.248625672508348,21.818772751530155,23.34920180649216
3,3,6.746137656573161,10.246960462016355,20.288675889033314,21.819104944125414
3,4,6.744472446086616,10.245295251529809,18.758579026058065,20.289008081150165
3,5,6.742807235129378,10.243629962950726,17.22848216375007,18.75892123197361
3,6,6.74114202602631,10.241964753391946,15.698385302130301,17.228824369141044
3,7,6.739476814612452,10.240299541503765,14.168288438747991,15.698727507026087
3,8,6.737811603658392,10.23863433008446,12.638191576104271,14.168630644382366
3,9,6.736146392698431,10.236969121448453,11.108094714131994,12.638533782498218
3,10,6.734471184569773,10.23530391049303,9.57799776051585,11.108436919921642
